NUMBER OF OBSERVATIONS							
270							
DAY	MONTH	YEAR	RAIN	PET	SOIL_VWC	GWL	ABS
31	3	1980	3.127943195	1.048387	-9999	58.908571	0
30	4	1980	0.450770167	2.1	-9999	57.595	0
31	5	1980	1.00357559	3.151613	-9999	49.74	0
30	6	1980	4.300630932	2.76	-9999	45.132	0
31	7	1980	2.554169061	2.677419	-9999	42.276667	0
31	8	1980	2.50980286	2.445161	-9999	41	0
30	9	1980	2.39584976	1.91	-9999	40.34	0
31	10	1980	3.809706708	1.164516	-9999	44.06	0
30	11	1980	1.874036758	0.683333	-9999	54.491429	0
31	12	1980	1.784810641	0.435484	-9999	54.875	0
31	1	1981	1.38617579	0.474194	-9999	51.214	0
28	2	1981	1.792040099	0.507143	-9999	49.3	0
31	3	1981	5.897670943	1.080645	-9999	68.73	0
30	4	1981	1.432008009	1.823333	-9999	60.8	0
31	5	1981	3.300689213	2.2	-9999	54.681111	0
30	6	1981	1.25098678	2.403333	-9999	52.652857	0
31	7	1981	1.47935383	2.551613	-9999	46.22	0
31	8	1981	1.22462065	2.525806	-9999	44.211724	0
30	9	1981	5.572875418	1.936667	-9999	41.494286	0
31	10	1981	3.596928127	1.203226	-9999	46.894286	0
30	11	1981	1.468285705	0.566667	-9999	48.988571	0
31	12	1981	3.642179838	0.341935	-9999	57.251429	0
31	1	1982	1.523287527	0.429032	-9999	59.346667	0
28	2	1982	1.690025153	0.507143	-9999	53.773333	0
31	3	1982	2.895545845	1.312903	-9999	60.72	0
30	4	1982	0.708468838	2.14	-9999	53.572308	0
31	5	1982	2.181641568	2.816129	-9999	48.116667	0
30	6	1982	2.741712834	2.98	-9999	44.620732	0
31	7	1982	0.993390766	2.919355	-9999	41.738571	0
31	8	1982	1.996512592	2.6	-9999	40.008571	0
30	9	1982	2.746228836	1.886667	-9999	37.26	0
31	10	1982	5.608521428	0.877419	-9999	51.477143	0
30	11	1982	3.781689655	0.856667	-9999	54.945714	0
31	12	1982	3.734860425	0.487097	-9999	71.601429	0
31	1	1983	2.714537291	0.603226	-9999	63.476429	0
28	2	1983	1.417866704	0.75	-9999	58.083077	0
31	3	1983	1.87201853	1.083871	-9999	52.439333	0
30	4	1983	3.401380301	1.77	-9999	55.426667	0
31	5	1983	2.930383117	2.345161	-9999	55.094286	0
30	6	1983	1.897873482	2.86	-9999	51.88	0
