NUMBER OF OBSERVATIONS							
540							
DAY	MONTH	YEAR	RAIN	PET	SOIL_VWC	GWL	ABS
30	11	1997	5.880850402	0.73	-9999	42.553636	0
31	12	1997	3.981805449	0.570968	-9999	58.146667	0
31	1	1998	3.564179969	0.787097	-9999	68.303529	0
28	2	1998	0.292589843	0.725	-9999	57.128	0
31	3	1998	2.7849503	1.306452	-9999	51.68	0
30	4	1998	3.535156015	1.92	-9999	54.713333	0
31	5	1998	0.581898467	3.36129	-9999	52.574	0
30	6	1998	3.673486608	2.88	-9999	46.165714	0
31	7	1998	1.891977556	2.916129	-9999	43.551429	0
31	8	1998	0.541620195	3.296774	-9999	41.206471	0
30	9	1998	3.769287994	2.146667	-9999	39.53	0
31	10	1998	5.127887119	1.474194	-9999	40.97	0
30	11	1998	2.139708139	0.746667	-9999	52.36	0
31	12	1998	3.817593955	0.46129	-9999	61.001176	0
31	1	1999	3.954736441	0.667742	-9999	72.558333	0
28	2	1999	1.36824731	0.785714	-9999	60.728421	0
31	3	1999	1.289792752	1.158065	-9999	52.874828	0
30	4	1999	1.672964991	2.053333	-9999	48.326	0
31	5	1999	0.696805652	2.658065	-9999	45.131087	0
30	6	1999	3.01341417	3.156667	-9999	43.04069	0
31	7	1999	0.127319802	3.551613	-9999	40.636471	0
31	8	1999	3.856340928	2.722581	-9999	38.74	0
30	9	1999	5.955445926	2.313333	-9999	38.06	0
31	10	1999	2.308628316	1.390323	-9999	41.672353	0
30	11	1999	1.15213244	0.803333	-9999	49.493333	0
31	12	1999	5.468724476	0.664516	-9999	61.348	0
31	1	2000	1.061525356	0.358065	-9999	59.2925	0
29	2	2000	2.696289876	0.848276	-9999	54.943333	0
31	3	2000	0.688882283	1.274194	-9999	53.0175	0
30	4	2000	4.278741597	1.79	-9999	55.50875	0
31	5	2000	3.256817636	2.63871	-9999	53.938571	0
30	6	2000	0.793082726	2.653333	-9999	51.407143	0
31	7	2000	1.48444569	2.609677	-9999	46.15	0
31	8	2000	1.498744719	2.919355	-9999	42.962857	0
30	9	2000	6.340063645	1.933333	-9999	41.52	0
31	10	2000	7.632704816	1.33871	-9999	72.145	0
30	11	2000	7.636600488	0.663333	-9999	75.866	0
31	12	2000	5.331041235	0.451613	-9999	73.307273	0
31	1	2001	4.252428597	0.416129	-9999	71.14	0
28	2	2001	3.195858368	0.596429	-9999	70.658571	0
31	3	2001	5.204266185	0.922581	-9999	72.215	0
30	4	2001	2.306572924	1.9	-9999	65.56	0
31	5	2001	0.710092674	3.022581	-9999	54.346	0
30	6	2001	0.510204029	3.29	-9999	47.7	0
31	7	2001	2.107549534	3.196774	-9999	43.39	0
31	8	2001	2.922100231	2.777419	-9999	40.496667	0
30	9	2001	2.683569468	2.12	-9999	38.55	0
31	10	2001	5.34785576	1.367742	-9999	40.97	0
30	11	2001	1.4249539	0.526667	-9999	43.27	0
31	12	2001	1.016796571	0.422581	-9999	45.863333	0
31	1	2002	3.19124154	0.454839	-9999	52.293333	0
28	2	2002	4.465039823	1.017857	-9999	63.963333	0
31	3	2002	2.037641534	1.129032	-9999	59.7	0
30	4	2002	1.174412651	2.336667	-9999	52.65	0
31	5	2002	2.918207694	2.845161	-9999	46.545833	0
30	6	2002	2.233407334	2.64	-9999	45.775385	0
31	7	2002	2.755492009	2.803226	-9999	46.616471	0
31	8	2002	2.033814043	2.383871	-9999	44.65	0
30	9	2002	1.604495281	2.13	-9999	42.16	0
31	10	2002	2.987726112	0.654839	-9999	40.2	0
30	11	2002	7.839435362	0.793333	-9999	66.22	0
31	12	2002	4.816263034	0.416129	-9999	72.61	0
31	1	2003	3.324927483	0.470968	-9999	72.74	0
28	2	2003	1.315583418	0.614286	-9999	62.51	0
31	3	2003	0.891221187	1.403226	-9999	54.05	0
30	4	2003	1.289765504	2.41	-9999	48.64	0
31	5	2003	1.088034994	2.66129	-9999	44.57	0
30	6	2003	1.293037704	2.986667	-9999	41.71	0
31	7	2003	2.453369551	3.306452	-9999	39.32	0
31	8	2003	0.92397193	3.325806	-9999	37.58	0
30	9	2003	0.338234534	1.853333	-9999	36.09	0
31	10	2003	2.615971232	1.470968	-9999	34.92	0
30	11	2003	5.438105089	0.676667	-9999	34.24	0
31	12	2003	3.501144398	0.493548	-9999	41.84	0
31	1	2004	3.670538226	0.609677	-9999	59.62	0
29	2	2004	0.882980826	0.737931	-9999	58.55	0
31	3	2004	1.611855151	1.151613	-9999	50.16	0
30	4	2004	3.514006138	1.843333	-9999	47.23	0
31	5	2004	1.411172248	2.564516	-9999	51.64	0
30	6	2004	0.969624433	3.36	-9999	46.58	0
31	7	2004	1.480833179	2.916129	-9999	42.56	0
31	8	2004	4.439045202	2.983871	-9999	39.88	0
30	9	2004	1.377300728	2.416667	-9999	37.89	0
31	10	2004	5.310543403	1.429032	-9999	37.61	0
30	11	2004	1.34755599	0.426667	-9999	40.12	0
31	12	2004	2.512738651	0.245161	-9999	41.75	0
31	1	2005	1.746857652	0.4	-9999	47.72	0
28	2	2005	0.687165365	0.503571	-9999	46.67	0
