NUMBER OF OBSERVATIONS								
1621							
DAY	MONTH	YEAR	RAIN	PE	SOIL_VWC	GWL	ABS	
12	2	2015	0.307425708	0.925	-9999	-9999	0	
13	2	2015	1.074724436	0.925	-9999	-9999	0	
14	2	2015	0.144319147	0.925	-9999	-9999	0	
15	2	2015	0.071332023	0.925	-9999	-9999	0	
16	2	2015	6.722225666	0.925	-9999	-9999	0	
17	2	2015	0.07317736	0.925	-9999	-9999	0	
18	2	2015	0.009224367	0.925	-9999	-9999	0	
19	2	2015	8.070730209	0.925	-9999	-9999	0	
20	2	2015	0.022581534	0.925	-9999	-9999	0	
21	2	2015	0.06235978	0.925	-9999	-9999	0	
22	2	2015	5.193146706	0.925	-9999	-9999	0	
23	2	2015	0.187935576	0.925	-9999	-9999	0	
24	2	2015	1.728477836	0.925	-9999	-9999	0	
25	2	2015	0.148321167	0.925	-9999	-9999	0	
26	2	2015	4.82369566	0.925	-9999	20.37	0	
27	2	2015	0.013093392	0.925	-9999	-9999	0	
28	2	2015	2.130184174	0.925	-9999	-9999	0	
1	3	2015	0.222561121	1.464516129	-9999	-9999	0	
2	3	2015	0.31887874	1.464516129	-9999	-9999	0	
3	3	2015	0.082679197	1.464516129	-9999	-9999	0	
4	3	2015	0.252974451	1.464516129	-9999	-9999	0	
5	3	2015	0	1.464516129	-9999	-9999	0	
6	3	2015	0.00072695	1.464516129	-9999	-9999	0	
7	3	2015	0.001847468	1.464516129	-9999	-9999	0	
8	3	2015	0.111037977	1.464516129	-9999	-9999	0	
9	3	2015	0.000987243	1.464516129	-9999	-9999	0	
10	3	2015	0.073916398	1.464516129	-9999	-9999	0	
11	3	2015	0.0517281	1.464516129	-9999	-9999	0	
12	3	2015	0.00163178	1.464516129	-9999	-9999	0	
13	3	2015	0	1.464516129	-9999	-9999	0	
14	3	2015	0.031381905	1.464516129	-9999	-9999	0	
15	3	2015	0.029362375	1.464516129	-9999	-9999	0	
16	3	2015	0.521967411	1.464516129	-9999	-9999	0	
17	3	2015	0.72638309	1.464516129	-9999	-9999	0	
18	3	2015	0.000642508	1.464516129	-9999	-9999	0	
19	3	2015	0.001102547	1.464516129	-9999	-9999	0	
20	3	2015	0.117830023	1.464516129	-9999	-9999	0	
21	3	2015	0.114369579	1.464516129	-9999	-9999	0	
22	3	2015	0.095640577	1.464516129	-9999	-9999	0	
23	3	2015	0.101610921	1.464516129	-9999	-9999	0	
24	3	2015	0.930979908	1.464516129	-9999	-9999	0	
25	3	2015	4.399870396	1.464516129	-9999	-9999	0	
26	3	2015	0.988231599	1.464516129	-9999	-9999	0	
27	3	2015	0.679097414	1.464516129	-9999	20.23	0	
28	3	2015	2.081240654	1.464516129	-9999	-9999	0	
29	3	2015	3.336823463	1.464516129	-9999	-9999	0	
30	3	2015	4.858520508	1.464516129	-9999	-9999	0	
31	3	2015	0.30947575	1.464516129	-9999	-9999	0	
1	4	2015	3.584836006	2.276666667	-9999	-9999	0	
2	4	2015	1.18013072	2.276666667	-9999	-9999	0	
3	4	2015	0.576734781	2.276666667	-9999	-9999	0	
4	4	2015	0.02843204	2.276666667	-9999	-9999	0	
5	4	2015	0.00377647	2.276666667	-9999	-9999	0	
6	4	2015	0.071404666	2.276666667	-9999	-9999	0	
7	4	2015	7.51E-05	2.276666667	-9999	-9999	0	
8	4	2015	0.07003931	2.276666667	-9999	-9999	0	
9	4	2015	0.075218238	2.276666667	-9999	-9999	0	
10	4	2015	0.032217678	2.276666667	-9999	-9999	0	
11	4	2015	1.217972279	2.276666667	-9999	-9999	0	
12	4	2015	0.381665289	2.276666667	-9999	-9999	0	
13	4	2015	0.078560166	2.276666667	-9999	-9999	0	
14	4	2015	7.51E-05	2.276666667	-9999	-9999	0	
15	4	2015	0.000131719	2.276666667	-9999	-9999	0	
16	4	2015	0	2.276666667	-9999	-9999	0	
17	4	2015	0.069099344	2.276666667	-9999	-9999	0	
18	4	2015	0	2.276666667	-9999	-9999	0	
19	4	2015	0.069164	2.276666667	-9999	-9999	0	
20	4	2015	8.24E-05	2.276666667	-9999	-9999	0	
21	4	2015	0.002691909	2.276666667	-9999	-9999	0	
22	4	2015	0	2.276666667	-9999	-9999	0	
23	4	2015	6.47E-05	2.276666667	-9999	-9999	0	
24	4	2015	1.210876346	2.276666667	-9999	19.66	0	
25	4	2015	9.26138401	2.276666667	-9999	-9999	0	
26	4	2015	0.119600914	2.276666667	-9999	-9999	0	
27	4	2015	0.305168331	2.276666667	-9999	-9999	0	
28	4	2015	0.000369705	2.276666667	-9999	-9999	0	
29	4	2015	2.49571538	2.276666667	-9999	-9999	0	
30	4	2015	0.10263785	2.276666667	-9999	-9999	0	
1	5	2015	0.001967495	2.81483871	-9999	-9999	0	
2	5	2015	3.48232913	2.81483871	-9999	-9999	0	
3	5	2015	4.331684113	2.81483871	-9999	-9999	0	
4	5	2015	11.20765972	2.81483871	-9999	-9999	0	
5	5	2015	1.861335158	2.81483871	-9999	-9999	0	
6	5	2015	0.868280888	2.81483871	-9999	-9999	0	
7	5	2015	0.463231623	2.81483871	-9999	-9999	0	
8	5	2015	1.343164086	2.81483871	-9999	-9999	0	
9	5	2015	0.029203603	2.81483871	-9999	-9999	0	
10	5	2015	0.000115026	2.81483871	-9999	-9999	0	
11	5	2015	0.153402478	2.81483871	-9999	-9999	0	
12	5	2015	0.135405988	2.81483871	-9999	-9999	0	
13	5	2015	0.068677455	2.81483871	-9999	-9999	0	
14	5	2015	5.650223732	2.81483871	-9999	-9999	0	
15	5	2015	0.314762652	2.81483871	-9999	-9999	0	
16	5	2015	0.069120556	2.81483871	-9999	-9999	0	
17	5	2015	1.328545332	2.81483871	-9999	-9999	0	
18	5	2015	4.417262077	2.81483871	-9999	-9999	0	
19	5	2015	2.290550947	2.81483871	-9999	-9999	0	
20	5	2015	7.610264301	2.81483871	-9999	-9999	0	
21	5	2015	0.001743782	2.81483871	-9999	-9999	0	
22	5	2015	0.364451259	2.81483871	-9999	18.95	0	
23	5	2015	0.068228252	2.81483871	-9999	-9999	0	
24	5	2015	0.320512444	2.81483871	-9999	-9999	0	
25	5	2015	0.001208587	2.81483871	-9999	-9999	0	
26	5	2015	0	2.81483871	-9999	-9999	0	
27	5	2015	0.00164128	2.81483871	-9999	-9999	0	
