NUMBER OF OBSERVATIONS							
9775							
DAY	MONTH	YEAR	RAIN	PET	SOIL_VWC	GWL	ABS
8	1	1993	0.011918106	0.677419355	-9999	-9999	0
9	1	1993	1.359829068	0.677419355	-9999	-9999	0
10	1	1993	4.741779327	0.677419355	-9999	-9999	0
11	1	1993	1.492676973	0.677419355	-9999	-9999	0
12	1	1993	0.524829388	0.677419355	-9999	-9999	0
13	1	1993	5.947076321	0.677419355	-9999	-9999	0
14	1	1993	1.116960883	0.677419355	-9999	17.67	0
15	1	1993	0.026313769	0.677419355	-9999	-9999	0
16	1	1993	0.000173791	0.677419355	-9999	-9999	0
17	1	1993	0.002491672	0.677419355	-9999	-9999	0
18	1	1993	0.957790196	0.677419355	-9999	-9999	0
19	1	1993	0.826847494	0.677419355	-9999	-9999	0
20	1	1993	0.065936893	0.677419355	-9999	-9999	0
21	1	1993	0.077820428	0.677419355	-9999	-9999	0
22	1	1993	3.081959009	0.677419355	-9999	-9999	0
23	1	1993	1.660370469	0.677419355	-9999	-9999	0
24	1	1993	0.091358766	0.677419355	-9999	-9999	0
25	1	1993	0	0.677419355	-9999	-9999	0
26	1	1993	5.213144302	0.677419355	-9999	-9999	0
27	1	1993	1.455870628	0.677419355	-9999	-9999	0
28	1	1993	1.061460495	0.677419355	-9999	-9999	0
29	1	1993	0.207419664	0.677419355	-9999	-9999	0
30	1	1993	0.258595914	0.677419355	-9999	-9999	0
31	1	1993	0.024063708	0.677419355	-9999	-9999	0
1	2	1993	6.79E-05	0.507142857	-9999	-9999	0
2	2	1993	0.078681722	0.507142857	-9999	-9999	0
3	2	1993	0.122201316	0.507142857	-9999	-9999	0
4	2	1993	0.005284093	0.507142857	-9999	-9999	0
5	2	1993	0.000200663	0.507142857	-9999	-9999	0
6	2	1993	0.019157706	0.507142857	-9999	-9999	0
7	2	1993	1.103511691	0.507142857	-9999	-9999	0
8	2	1993	1.037375689	0.507142857	-9999	-9999	0
9	2	1993	0.303014189	0.507142857	-9999	-9999	0
10	2	1993	0.003682174	0.507142857	-9999	-9999	0
11	2	1993	0.000332218	0.507142857	-9999	-9999	0
12	2	1993	0.063671187	0.507142857	-9999	18.44	0
13	2	1993	0.002651826	0.507142857	-9999	-9999	0
14	2	1993	0.001185231	0.507142857	-9999	-9999	0
15	2	1993	0.026276365	0.507142857	-9999	-9999	0
16	2	1993	0.193061963	0.507142857	-9999	-9999	0
17	2	1993	0.004843826	0.507142857	-9999	-9999	0
18	2	1993	0	0.507142857	-9999	-9999	0
19	2	1993	0.000805785	0.507142857	-9999	-9999	0
20	2	1993	0.039493784	0.507142857	-9999	-9999	0
21	2	1993	0.602838874	0.507142857	-9999	-9999	0
22	2	1993	0.19401823	0.507142857	-9999	-9999	0
23	2	1993	0.00780897	0.507142857	-9999	-9999	0
24	2	1993	0.006830777	0.507142857	-9999	-9999	0
25	2	1993	0.563646853	0.507142857	-9999	-9999	0
26	2	1993	8.076986313	0.507142857	-9999	-9999	0
27	2	1993	3.274666786	0.507142857	-9999	-9999	0
28	2	1993	0	0.507142857	-9999	-9999	0
1	3	1993	2.904716492	1.261290323	-9999	-9999	0
2	3	1993	0.356244951	1.261290323	-9999	-9999	0
3	3	1993	0.046642713	1.261290323	-9999	-9999	0
4	3	1993	0.02249776	1.261290323	-9999	-9999	0
5	3	1993	0.433076084	1.261290323	-9999	-9999	0
6	3	1993	0.000969588	1.261290323	-9999	-9999	0
7	3	1993	0.002794733	1.261290323	-9999	-9999	0
8	3	1993	0.002829546	1.261290323	-9999	-9999	0
9	3	1993	0.008766724	1.261290323	-9999	-9999	0
10	3	1993	0.006696017	1.261290323	-9999	-9999	0
11	3	1993	0	1.261290323	-9999	-9999	0
12	3	1993	0	1.261290323	-9999	-9999	0
13	3	1993	0.001514945	1.261290323	-9999	-9999	0
14	3	1993	0.00872498	1.261290323	-9999	-9999	0
15	3	1993	0.002537144	1.261290323	-9999	18.53	0
16	3	1993	0.271405756	1.261290323	-9999	-9999	0
17	3	1993	0.0003398	1.261290323	-9999	-9999	0
18	3	1993	0.000415957	1.261290323	-9999	-9999	0
19	3	1993	0	1.261290323	-9999	-9999	0
20	3	1993	0.082321718	1.261290323	-9999	-9999	0
21	3	1993	4.419970036	1.261290323	-9999	-9999	0
22	3	1993	1.579729915	1.261290323	-9999	-9999	0
23	3	1993	0.005287779	1.261290323	-9999	-9999	0
24	3	1993	1.053965688	1.261290323	-9999	-9999	0
25	3	1993	0.000921741	1.261290323	-9999	-9999	0
26	3	1993	0	1.261290323	-9999	-9999	0
27	3	1993	0	1.261290323	-9999	-9999	0
28	3	1993	0	1.261290323	-9999	-9999	0
29	3	1993	0.000470933	1.261290323	-9999	-9999	0
30	3	1993	0.159092292	1.261290323	-9999	-9999	0
31	3	1993	5.724898338	1.261290323	-9999	-9999	0
1	4	1993	7.284017086	1.816666667	-9999	-9999	0
2	4	1993	0.007621219	1.816666667	-9999	-9999	0
3	4	1993	3.143547773	1.816666667	-9999	-9999	0
4	4	1993	1.966517925	1.816666667	-9999	-9999	0
5	4	1993	3.871216297	1.816666667	-9999	-9999	0
6	4	1993	1.093160152	1.816666667	-9999	-9999	0
7	4	1993	0.001691626	1.816666667	-9999	-9999	0
8	4	1993	0.053649474	1.816666667	-9999	-9999	0
9	4	1993	7.933333874	1.816666667	-9999	-9999	0
10	4	1993	0.628093481	1.816666667	-9999	-9999	0
11	4	1993	0.036798164	1.816666667	-9999	-9999	0
12	4	1993	0.040569972	1.816666667	-9999	-9999	0
13	4	1993	0.079495348	1.816666667	-9999	-9999	0
14	4	1993	0.000129051	1.816666667	-9999	-9999	0
15	4	1993	0	1.816666667	-9999	-9999	0
16	4	1993	0.00091033	1.816666667	-9999	-9999	0
17	4	1993	1.928552389	1.816666667	-9999	-9999	0
18	4	1993	1.522618413	1.816666667	-9999	-9999	0
19	4	1993	0	1.816666667	-9999	-9999	0
20	4	1993	0.050493527	1.816666667	-9999	18.26	0
21	4	1993	0	1.816666667	-9999	-9999	0
22	4	1993	7.18E-05	1.816666667	-9999	-9999	0
23	4	1993	7.36806488	1.816666667	-9999	-9999	0
24	4	1993	16.65626144	1.816666667	-9999	-9999	0
25	4	1993	0.056893826	1.816666667	-9999	-9999	0
26	4	1993	0.860716224	1.816666667	-9999	-9999	0
27	4	1993	0.000629697	1.816666667	-9999	-9999	0
28	4	1993	0	1.816666667	-9999	-9999	0
29	4	1993	0	1.816666667	-9999	-9999	0
30	4	1993	0.000914213	1.816666667	-9999	-9999	0
1	5	1993	0.512371898	3.112903226	-9999	-9999	0
2	5	1993	0.005301763	3.112903226	-9999	-9999	0
3	5	1993	0.009292462	3.112903226	-9999	-9999	0
4	5	1993	0	3.112903226	-9999	-9999	0
5	5	1993	0	3.112903226	-9999	-9999	0
6	5	1993	0	3.112903226	-9999	-9999	0
7	5	1993	0.000643951	3.112903226	-9999	-9999	0
8	5	1993	0.445834637	3.112903226	-9999	-9999	0
9	5	1993	2.595723629	3.112903226	-9999	-9999	0
10	5	1993	0.001799571	3.112903226	-9999	-9999	0
11	5	1993	0.000353171	3.112903226	-9999	-9999	0
12	5	1993	0.000209531	3.112903226	-9999	-9999	0
13	5	1993	0.001712867	3.112903226	-9999	-9999	0
14	5	1993	0.195794255	3.112903226	-9999	-9999	0
15	5	1993	0.013959129	3.112903226	-9999	-9999	0
16	5	1993	0.000684205	3.112903226	-9999	-9999	0
17	5	1993	3.045768738	3.112903226	-9999	18.07	0
18	5	1993	4.124720573	3.112903226	-9999	-9999	0
19	5	1993	0.006948189	3.112903226	-9999	-9999	0
20	5	1993	5.524495602	3.112903226	-9999	-9999	0
21	5	1993	0.006027556	3.112903226	-9999	-9999	0
22	5	1993	0.00038014	3.112903226	-9999	-9999	0
23	5	1993	0.000143045	3.112903226	-9999	-9999	0
24	5	1993	0	3.112903226	-9999	-9999	0
25	5	1993	0	3.112903226	-9999	-9999	0
26	5	1993	8.759460449	3.112903226	-9999	-9999	0
27	5	1993	9.614412308	3.112903226	-9999	-9999	0
28	5	1993	0.144490242	3.112903226	-9999	-9999	0
29	5	1993	4.715025425	3.112903226	-9999	-9999	0
30	5	1993	0.01168511	3.112903226	-9999	-9999	0
31	5	1993	0.00048878	3.112903226	-9999	-9999	0
1	6	1993	0.183718055	2.933333333	-9999	-9999	0
2	6	1993	14.82791615	2.933333333	-9999	-9999	0
3	6	1993	0.001658271	2.933333333	-9999	-9999	0
4	6	1993	0	2.933333333	-9999	-9999	0
5	6	1993	0	2.933333333	-9999	-9999	0
6	6	1993	0	2.933333333	-9999	-9999	0
7	6	1993	0	2.933333333	-9999	-9999	0
8	6	1993	0	2.933333333	-9999	-9999	0
9	6	1993	0.226378232	2.933333333	-9999	-9999	0
10	6	1993	7.0626297	2.933333333	-9999	-9999	0
11	6	1993	1.378061652	2.933333333	-9999	-9999	0
12	6	1993	1.700505137	2.933333333	-9999	-9999	0
13	6	1993	3.731541872	2.933333333	-9999	-9999	0
